24-02-2024,China Ferry Terminal,Departure,1254,814,313,2381
3/3/2024,China Ferry Terminal,Arrival,1249,539,235,2023
7/12/2024,China Ferry Terminal,Departure,1218,811,70,2099
27-12-2024,China Ferry Terminal,Departure,1218,677,78,1973
11/8/2024,China Ferry Terminal,Arrival,1211,830,145,2186
16-02-2024,China Ferry Terminal,Departure,1207,2901,211,4319
14-12-2024,China Ferry Terminal,Departure,1203,888,49,2140
13-02-2024,China Ferry Terminal,Departure,1198,2680,188,4066
19-01-2024,China Ferry Terminal,Departure,1187,1002,369,2558
18-09-2024,China Ferry Terminal,Arrival,1185,318,38,1541
26-04-2024,China Ferry Terminal,Departure,1184,597,196,1977
24-05-2024,China Ferry Terminal,Departure,1181,578,290,2049
14-07-2024,China Ferry Terminal,Arrival,1180,856,94,2130
9/3/2024,China Ferry Terminal,Departure,1179,651,253,2083
16-03-2024,China Ferry Terminal,Departure,1179,724,316,2219
28-07-2024,China Ferry Terminal,Arrival,1176,750,120,2046
21-07-2024,China Ferry Terminal,Arrival,1174,802,102,2078
1/10/2024,China Ferry Terminal,Arrival,1168,2073,64,3305
23-06-2024,China Ferry Terminal,Arrival,1162,607,105,1874
17-05-2024,China Ferry Terminal,Departure,1153,645,274,2072
14-04-2024,China Ferry Terminal,Departure,1149,865,563,2577
27-03-2024,China Ferry Terminal,Departure,1148,738,286,2172
10/11/2024,China Ferry Terminal,Arrival,1147,388,70,1605
8/4/2024,China Ferry Terminal,Arrival,1135,683,337,2155
14-09-2024,China Ferry Terminal,Departure,1134,294,18,1446
20-12-2024,China Ferry Terminal,Departure,1132,786,68,1986
26-01-2024,China Ferry Terminal,Departure,1129,1417,224,2770
24-11-2024,China Ferry Terminal,Arrival,1128,374,66,1568
6/10/2024,China Ferry Terminal,Arrival,1125,752,38,1915
16-06-2024,China Ferry Terminal,Arrival,1123,347,111,1581
25-05-2024,China Ferry Terminal,Departure,1122,576,246,1944
17-11-2024,China Ferry Terminal,Arrival,1117,458,62,1637
6/1/2024,China Ferry Terminal,Departure,1116,654,223,1993
22-12-2024,China Ferry Terminal,Departure,1115,1199,104,2418
18-08-2024,China Ferry Terminal,Arrival,1114,732,114,1960
1/9/2024,China Ferry Terminal,Arrival,1109,310,20,1439
3/8/2024,China Ferry Terminal,Departure,1108,759,96,1963
4/2/2024,China Ferry Terminal,Arrival,1106,2194,223,3523
2/6/2024,China Ferry Terminal,Arrival,1106,298,62,1466
3/2/2024,China Ferry Terminal,Departure,1095,1919,292,3306
23-02-2024,China Ferry Terminal,Departure,1094,913,341,2348
15-03-2024,China Ferry Terminal,Departure,1079,674,297,2050
10/5/2024,China Ferry Terminal,Departure,1078,638,185,1901
27-10-2024,China Ferry Terminal,Arrival,1071,1050,262,2383
13-01-2024,China Ferry Terminal,Departure,1070,816,219,2105
2/3/2024,China Ferry Terminal,Departure,1069,604,276,1949
30-12-2024,China Ferry Terminal,Arrival,1069,865,111,2045
6/2/2024,China Ferry Terminal,Departure,1063,2480,190,3733
6/12/2024,China Ferry Terminal,Departure,1061,542,41,1644
15-02-2024,China Ferry Terminal,Departure,1053,2919,170,4142
4/5/2024,China Ferry Terminal,Departure,1038,1771,306,3115
3/11/2024,China Ferry Terminal,Arrival,1037,346,68,1451
1/3/2024,China Ferry Terminal,Departure,1036,578,309,1923
9/11/2024,China Ferry Terminal,Departure,1036,387,61,1484
7/7/2024,China Ferry Terminal,Arrival,1034,548,97,1679
14-02-2024,China Ferry Terminal,Departure,1032,2734,239,4005
8/3/2024,China Ferry Terminal,Departure,1031,656,271,1958
3/5/2024,China Ferry Terminal,Departure,1025,2295,309,3629
24-08-2024,China Ferry Terminal,Departure,1025,836,113,1974
13-07-2024,China Ferry Terminal,Departure,1023,656,110,1789
19-07-2024,China Ferry Terminal,Departure,1013,734,110,1857
2/2/2024,China Ferry Terminal,Departure,1008,1590,207,2805
30-04-2024,China Ferry Terminal,Arrival,1007,1044,338,2389
22-12-2024,China Ferry Terminal,Arrival,1004,1082,43,2129
20-07-2024,China Ferry Terminal,Departure,1003,734,131,1868
11/6/2024,China Ferry Terminal,Arrival,1002,405,99,1506
13-12-2024,China Ferry Terminal,Departure,998,558,53,1609
2/1/2024,China Ferry Terminal,Arrival,992,620,219,1831
28-11-2024,China Ferry Terminal,Departure,989,654,28,1671
