Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
1/1/2023,China Ferry Terminal,Arrival,0,0,0,0
1/1/2023,China Ferry Terminal,Departure,0,0,0,0
2/1/2023,China Ferry Terminal,Arrival,0,0,0,0
2/1/2023,China Ferry Terminal,Departure,0,0,0,0
3/1/2023,China Ferry Terminal,Arrival,0,0,0,0
3/1/2023,China Ferry Terminal,Departure,0,0,0,0
4/1/2023,China Ferry Terminal,Arrival,0,0,0,0
4/1/2023,China Ferry Terminal,Departure,0,0,0,0
5/1/2023,China Ferry Terminal,Arrival,0,0,0,0
5/1/2023,China Ferry Terminal,Departure,0,0,0,0
6/1/2023,China Ferry Terminal,Arrival,0,0,0,0
6/1/2023,China Ferry Terminal,Departure,0,0,0,0
7/1/2023,China Ferry Terminal,Arrival,0,0,0,0
7/1/2023,China Ferry Terminal,Departure,0,0,0,0
1/9/2023,China Ferry Terminal,Arrival,0,0,0,0
1/9/2023,China Ferry Terminal,Departure,0,0,0,0
2/9/2023,China Ferry Terminal,Arrival,0,0,0,0
2/9/2023,China Ferry Terminal,Departure,0,0,0,0
7/10/2023,China Ferry Terminal,Arrival,0,0,0,0
7/10/2023,China Ferry Terminal,Departure,0,0,0,0
8/10/2023,China Ferry Terminal,Arrival,0,0,0,0
8/10/2023,China Ferry Terminal,Departure,0,0,0,0
11/1/2023,China Ferry Terminal,Arrival,4,5,6,15
10/1/2023,China Ferry Terminal,Arrival,6,5,4,15
9/1/2023,China Ferry Terminal,Arrival,3,8,2,13
10/1/2023,China Ferry Terminal,Departure,21,8,4,33
8/1/2023,China Ferry Terminal,Arrival,29,12,1,42
8/1/2023,China Ferry Terminal,Departure,38,12,4,54
11/1/2023,China Ferry Terminal,Departure,35,13,3,51
9/1/2023,China Ferry Terminal,Departure,23,15,1,39
12/1/2023,China Ferry Terminal,Departure,64,23,4,91
12/1/2023,China Ferry Terminal,Arrival,26,51,4,81
9/10/2023,China Ferry Terminal,Departure,145,67,20,232
9/10/2023,China Ferry Terminal,Arrival,345,98,13,456
5/2/2023,China Ferry Terminal,Arrival,411,107,19,537
3/9/2023,China Ferry Terminal,Departure,270,172,25,467
2/2/2023,China Ferry Terminal,Arrival,340,186,19,545
6/2/2023,China Ferry Terminal,Departure,631,187,24,842
7/2/2023,China Ferry Terminal,Departure,510,191,22,723
1/2/2023,China Ferry Terminal,Departure,364,197,11,572
4/2/2023,China Ferry Terminal,Arrival,283,202,10,495
5/2/2023,China Ferry Terminal,Departure,209,210,32,451
2/2/2023,China Ferry Terminal,Departure,355,210,26,591
3/9/2023,China Ferry Terminal,Arrival,536,222,18,776
3/2/2023,China Ferry Terminal,Arrival,341,231,25,597
4/2/2023,China Ferry Terminal,Departure,395,250,11,656
6/2/2023,China Ferry Terminal,Arrival,537,252,16,805
9/2/2023,China Ferry Terminal,Departure,610,253,32,895
8/2/2023,China Ferry Terminal,Departure,497,254,18,769
1/2/2023,China Ferry Terminal,Arrival,389,255,13,657
7/2/2023,China Ferry Terminal,Arrival,390,258,26,674
11/2/2023,China Ferry Terminal,Departure,761,274,21,1056
8/2/2023,China Ferry Terminal,Arrival,419,278,23,720
10/10/2023,China Ferry Terminal,Departure,618,279,73,970
3/2/2023,China Ferry Terminal,Departure,470,281,22,773
10/4/2023,China Ferry Terminal,Departure,629,306,26,961
11/9/2023,China Ferry Terminal,Departure,649,306,55,1010
2/3/2023,China Ferry Terminal,Departure,621,307,18,946
7/4/2023,China Ferry Terminal,Departure,4044,310,40,4394
12/2/2023,China Ferry Terminal,Arrival,949,316,22,1287
